date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:08	66792/66792	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Dec%202021%2012:01:07%20GMT	https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60	C:/My%20Web%20Sites/new/temp/piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60.html	(from )
17:31:08	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Dec%202021%2012:01:08%20GMT	https://piinksale.finance/robots.txt		(from )
17:31:09	3603/3603	---M--	200	added ('OK')	image/png	etag:%22619058a8-e13%22	https://piinksale.finance/template/assets/upload/favicon.png	C:/My%20Web%20Sites/new/temp/piinksale.finance/template/assets/upload/favicon.png	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:09	16294/16294	---M--	200	added ('OK')	image/png	etag:%2261905954-3fa6%22	https://piinksale.finance/template/assets/upload/logo192.png	C:/My%20Web%20Sites/new/temp/piinksale.finance/template/assets/upload/logo192.png	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:10	13175/13175	---M--	200	added ('OK')	image/png	etag:%22619058ac-3377%22	https://piinksale.finance/template/assets/upload/pinkswap.png	C:/My%20Web%20Sites/new/temp/piinksale.finance/template/assets/upload/pinkswap.png	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:10	908797/908797	---MCZ	200	added ('OK')	text/css	etag:W/%226193e5b1-dddfd%22	https://piinksale.finance/template/assets/css/main.css	C:/My%20Web%20Sites/new/temp/piinksale.finance/template/assets/css/main.css	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:10	1763/1763	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Dec%202021%2012:01:10%20GMT	https://piinksale.finance/launchpad/UTC	C:/My%20Web%20Sites/new/temp/piinksale.finance/launchpad/UTC.html	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:12	23064/23064	---M--	200	added ('OK')	image/jpeg	etag:%22882cfb62e501cda47b7e66bb3bf8e4c4%22	https://i.imgur.com/qUz1pbF.jpg	C:/My%20Web%20Sites/new/temp/i.imgur.com/qUz1pbF.jpg	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:13	14712/14712	---M--	200	added ('OK')	image/png	etag:%222fd08e7b1de95911593a9e71245bcdde%22	https://i.imgur.com/16UVcWc.png	C:/My%20Web%20Sites/new/temp/i.imgur.com/16UVcWc.png	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:15	72372/72372	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-11ab4%22	https://code.jquery.com/jquery-3.6.0.slim.min.js	C:/My%20Web%20Sites/new/temp/code.jquery.com/jquery-3.6.0.slim.min.js	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:15	76/76	---MCZ	302	error ('Found')	text/plain	date:Sat,%2018%20Dec%202021%2012:01:14%20GMT	https://unpkg.com/@metamask/legacy-web3@latest/dist/metamask.web3.min.js	C:/My%20Web%20Sites/new/temp/unpkg.com/@metamask/legacy-web3@latest/dist/metamask.web3.min.9.delayed	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
17:31:16	248043/248043	---MCZ	200	added ('OK')	application/javascript	etag:%223c8eb-87oFBezHk6Cjv6YCnpaGkC4twTc%22	https://unpkg.com/@metamask/legacy-web3@2.0.0/dist/metamask.web3.min.js	C:/My%20Web%20Sites/new/temp/unpkg.com/@metamask/legacy-web3@2.0.0/dist/metamask.web3.min.js	(from https://piinksale.finance/launchpad/0x6cB53D86DC22BCa55A722da684c8650361A2eC60)
